Iteration 279: alp=3.906250e-03, f=2.976560e-03, gnorm=1.480528e-01
Iteration 280: alp=1.953125e-03, f=2.967566e-03, gnorm=1.211588e-01
Iteration 281: alp=1.953125e-03, f=2.960053e-03, gnorm=1.007368e-01
Iteration 282: alp=1.953125e-03, f=2.953476e-03, gnorm=8.551776e-02
Iteration 283: alp=1.953125e-03, f=2.947485e-03, gnorm=7.441292e-02
Iteration 284: alp=3.906250e-03, f=2.946632e-03, gnorm=1.495286e-01
Iteration 285: alp=1.953125e-03, f=2.937603e-03, gnorm=1.223345e-01
Iteration 286: alp=1.953125e-03, f=2.930094e-03, gnorm=1.016606e-01
Iteration 287: alp=1.953125e-03, f=2.923531e-03, gnorm=8.619312e-02
Iteration 288: alp=1.953125e-03, f=2.917569e-03, gnorm=7.487690e-02
Iteration 289: alp=3.906250e-03, f=2.917133e-03, gnorm=1.517050e-01
Iteration 290: alp=1.953125e-03, f=2.908044e-03, gnorm=1.240853e-01
Iteration 291: alp=1.953125e-03, f=2.900500e-03, gnorm=1.030046e-01
Iteration 292: alp=1.953125e-03, f=2.893938e-03, gnorm=8.719648e-02
Iteration 293: alp=1.953125e-03, f=2.887991e-03, gnorm=7.557607e-02
Iteration 294: alp=1.953125e-03, f=2.882435e-03, gnorm=6.724376e-02
Iteration 295: alp=3.906250e-03, f=2.878868e-03, gnorm=1.263389e-01
Iteration 296: alp=1.953125e-03, f=2.871273e-03, gnorm=1.047575e-01
Iteration 297: alp=1.953125e-03, f=2.864688e-03, gnorm=8.849899e-02
Iteration 298: alp=1.953125e-03, f=2.858746e-03, gnorm=7.650609e-02
Iteration 299: alp=1.953125e-03, f=2.853211e-03, gnorm=6.785928e-02
Iteration 300: alp=3.906250e-03, f=2.850094e-03, gnorm=1.291513e-01
Iteration 301: alp=1.953125e-03, f=2.842406e-03, gnorm=1.069238e-01
Iteration 302: alp=1.953125e-03, f=2.835785e-03, gnorm=9.013216e-02
Iteration 303: alp=1.953125e-03, f=2.829834e-03, gnorm=7.767833e-02
Iteration 304: alp=1.953125e-03, f=2.824311e-03, gnorm=6.865837e-02
Iteration 305: alp=3.906250e-03, f=2.821726e-03, gnorm=1.326194e-01
Iteration 306: alp=1.953125e-03, f=2.813919e-03, gnorm=1.096253e-01
Iteration 307: alp=1.953125e-03, f=2.807231e-03, gnorm=9.216491e-02
Iteration 308: alp=1.953125e-03, f=2.801258e-03, gnorm=7.916229e-02
Iteration 309: alp=1.953125e-03, f=2.795737e-03, gnorm=6.968469e-02
Iteration 310: alp=3.906250e-03, f=2.793781e-03, gnorm=1.367494e-01
Iteration 311: alp=1.953125e-03, f=2.785803e-03, gnorm=1.128251e-01
Iteration 312: alp=1.953125e-03, f=2.779029e-03, gnorm=9.460217e-02
Iteration 313: alp=1.953125e-03, f=2.773014e-03, gnorm=8.094926e-02
Iteration 314: alp=1.953125e-03, f=2.767485e-03, gnorm=7.094527e-02
Iteration 315: alp=3.906250e-03, f=2.766270e-03, gnorm=1.416678e-01
Iteration 316: alp=1.953125e-03, f=2.758086e-03, gnorm=1.166752e-01
Iteration 317: alp=1.953125e-03, f=2.751186e-03, gnorm=9.753360e-02
Iteration 318: alp=1.953125e-03, f=2.745111e-03, gnorm=8.312843e-02
Iteration 319: alp=1.953125e-03, f=2.739558e-03, gnorm=7.249817e-02
Iteration 320: alp=3.906250e-03, f=2.739222e-03, gnorm=1.473977e-01
Iteration 321: alp=1.953125e-03, f=2.730760e-03, gnorm=1.211451e-01
Iteration 322: alp=1.953125e-03, f=2.723707e-03, gnorm=1.009748e-01
Iteration 323: alp=1.953125e-03, f=2.717544e-03, gnorm=8.569720e-02
Iteration 324: alp=1.953125e-03, f=2.711955e-03, gnorm=7.435816e-02
Iteration 325: alp=1.953125e-03, f=2.706730e-03, gnorm=6.612425e-02
Iteration 326: alp=3.906250e-03, f=2.703856e-03, gnorm=1.263603e-01
Iteration 327: alp=1.953125e-03, f=2.696597e-03, gnorm=1.049911e-01
Iteration 328: alp=1.953125e-03, f=2.690325e-03, gnorm=8.873214e-02
Iteration 329: alp=1.953125e-03, f=2.684677e-03, gnorm=7.657379e-02
Iteration 330: alp=1.953125e-03, f=2.679434e-03, gnorm=6.768386e-02
Iteration 331: alp=3.906250e-03, f=2.677393e-03, gnorm=1.324492e-01
Iteration 332: alp=1.953125e-03, f=2.669885e-03, gnorm=1.097279e-01
Iteration 333: alp=1.953125e-03, f=2.663460e-03, gnorm=9.232543e-02
Iteration 334: alp=1.953125e-03, f=2.657734e-03, gnorm=7.923428e-02
Iteration 335: alp=1.953125e-03, f=2.652455e-03, gnorm=6.958000e-02
Iteration 336: alp=3.906250e-03, f=2.651405e-03, gnorm=1.394724e-01
Iteration 337: alp=1.953125e-03, f=2.643572e-03, gnorm=1.151944e-01
Iteration 338: alp=1.953125e-03, f=2.636961e-03, gnorm=9.651906e-02
Iteration 339: alp=1.953125e-03, f=2.631126e-03, gnorm=8.236178e-02
Iteration 340: alp=1.953125e-03, f=2.625795e-03, gnorm=7.184536e-02
